,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
68,2022-03-10,83.42513832324421,51.79476308320732,135.98739873352054,83.42513832324421,83.42513832324421,8.44499679639357,8.44499679639357,8.44499679639357,-1.3070456147692608,-1.3070456147692608,-1.3070456147692608,9.752042411162831,9.752042411162831,9.752042411162831,0.0,0.0,0.0,91.87013511963778
69,2022-03-11,83.38808662366624,46.4676713367422,128.6455541786536,83.38808662366624,83.38808662366624,4.361467611633008,4.361467611633008,4.361467611633008,-4.378812445814007,-4.378812445814007,-4.378812445814007,8.740280057447015,8.740280057447015,8.740280057447015,0.0,0.0,0.0,87.74955423529924
70,2022-03-12,83.35103492408825,51.44488197213702,134.17469965250748,83.35103492408825,83.35103492408825,8.14403213485655,8.14403213485655,8.14403213485655,0.4203222573972864,0.4203222573972864,0.4203222573972864,7.723709877459263,7.723709877459263,7.723709877459263,0.0,0.0,0.0,91.4950670589448
71,2022-03-13,83.31398322451028,47.543749812912395,137.8319607036321,83.31398322451028,83.31398322451028,10.632462836058812,10.632462836058812,10.632462836058812,3.8985951469555955,3.8985951469555955,3.8985951469555955,6.733867689103217,6.733867689103217,6.733867689103217,0.0,0.0,0.0,93.94644606056909
72,2022-03-14,83.27693152493231,49.45794451286377,129.57781992369542,83.27693152493231,83.27693152493231,6.995644570762519,6.995644570762519,6.995644570762519,1.1954079175151624,1.1954079175151624,1.1954079175151624,5.800236653247357,5.800236653247357,5.800236653247357,0.0,0.0,0.0,90.27257609569483
73,2022-03-15,83.23987982535435,41.34136346759194,124.18096450317677,83.23987982535435,83.23987982535435,-0.9355609572711006,-0.9355609572711006,-0.9355609572711006,-5.884970958464421,-5.884970958464421,-5.884970958464421,4.94941000119332,4.94941000119332,4.94941000119332,0.0,0.0,0.0,82.30431886808324
74,2022-03-16,83.20282812824291,51.38816058230826,138.75193128706246,83.20282812824291,83.20282812824291,10.260848767632726,10.260848767632726,10.260848767632726,6.056503697201781,6.056503697201781,6.056503697201781,4.204345070430946,4.204345070430946,4.204345070430946,0.0,0.0,0.0,93.46367689587564
75,2022-03-17,83.16577643113149,44.56404409208461,125.97550626806091,83.16577643113149,83.16577643113149,2.2766834140872487,2.2766834140872487,2.2766834140872487,-1.3070456147718617,-1.3070456147718617,-1.3070456147718617,3.58372902885911,3.58372902885911,3.58372902885911,0.0,0.0,0.0,85.44245984521874
76,2022-03-18,83.12872473402008,37.32263658537987,126.03485656700902,83.12872473402008,83.12872473402008,-1.2773390761814696,-1.2773390761814696,-1.2773390761814696,-4.378812445799674,-4.378812445799674,-4.378812445799674,3.101473369618205,3.101473369618205,3.101473369618205,0.0,0.0,0.0,81.85138565783862
77,2022-03-19,83.09167303690865,44.782437960203936,130.66984255210826,83.09167303690865,83.09167303690865,3.186672755339308,3.186672755339308,3.186672755339308,0.4203222574088866,0.4203222574088866,0.4203222574088866,2.766350497930421,2.766350497930421,2.766350497930421,0.0,0.0,0.0,86.27834579224795
78,2022-03-20,83.05462133979724,45.551941332849516,131.07325576361544,83.05462133979724,83.05462133979724,6.480376764517827,6.480376764517827,6.480376764517827,3.898595146968352,3.898595146968352,3.898595146968352,2.581781617549474,2.581781617549474,2.581781617549474,0.0,0.0,0.0,89.53499810431506
79,2022-03-21,83.01756964268581,42.738377974469046,127.64971175883844,83.01756964268581,83.01756964268581,3.741188693795667,3.741188693795667,3.741188693795667,1.1954079175122538,1.1954079175122538,1.1954079175122538,2.545780776283413,2.545780776283413,2.545780776283413,0.0,0.0,0.0,86.75875833648148
